Match_id,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,BattingTeam_1
298798,L Vincent,BB McCullum,JM How,SB Styris,LRPL Taylor,MS Sinclair,JDP Oram,KD Mills,DL Vettori,MR Gillespie,JS Patel,New Zealand
298805,DS Smith,BA Parchment,MN Samuels,S Chanderpaul,RS Morton,DJ Bravo,D Ramdin,DJG Sammy,R Rampaul,DBL Powell,FH Edwards,West Indies
298806,GC Smith,HH Gibbs,JH Kallis,AB de Villiers,JP Duminy,MV Boucher,SM Pollock,J Botha,DW Steyn,M Morkel,CK Langeveldt,South Africa
298807,BA Parchment,S Chattergoon,PA Browne,MN Samuels,RS Morton,DJ Bravo,DJG Sammy,D Ramdin,JE Taylor,DBL Powell,FH Edwards,West Indies
298808,BA Parchment,S Chattergoon,S Chanderpaul,MN Samuels,DJ Bravo,PA Browne,DJG Sammy,RN Lewis,JE Taylor,DBL Powell,FH Edwards,West Indies
298809,BA Parchment,DS Smith,S Chanderpaul,PA Browne,DJ Bravo,RS Morton,D Ramdin,DJG Sammy,RN Lewis,DBL Powell,R Rampaul,West Indies
299006,HH Gibbs,GC Smith,JH Kallis,AB de Villiers,JM Kemp,MV Boucher,SM Pollock,M Ntini,CK Langeveldt,JA Morkel,J Botha,South Africa
299007,Imran Nazir,Kamran Akmal,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahNaNulNaNHaq,Shahid Afridi,Sohail Tanvir,Abdur Rehman,Iftikhar Anjum,Umar Gul,Pakistan
299008,HH Gibbs,GC Smith,JH Kallis,AB de Villiers,JM Kemp,MV Boucher,JA Morkel,SM Pollock,J Botha,CK Langeveldt,M Ntini,South Africa
299009,Yasir Hameed,Shahid Afridi,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahNaNulNaNHaq,Kamran Akmal,Abdur Rehman,Iftikhar Anjum,Umar Gul,Mohammad Asif,Pakistan
299010,HH Gibbs,GC Smith,JH Kallis,AB de Villiers,JP Duminy,MV Boucher,SM Pollock,JA Morkel,A Nel,J Botha,M Ntini,South Africa
300426,Tamim Iqbal,Junaid Siddique,Aftab Ahmed,Mohammad Ashraful,Shakib Al Hasan,Mehrab Hossain jnr,Mushfiqur Rahim,Farhad Reza,Mashrafe Mortaza,Abdur Razzak,Shahadat Hossain,Bangladesh
300427,JM How,BB McCullum,PG Fulton,SB Styris,LRPL Taylor,JDP Oram,KD Mills,CS Martin,MR Gillespie,DL Vettori,NaN,New Zealand
300428,Tamim Iqbal,Junaid Siddique,Mohammad Ashraful,Aftab Ahmed,Tushar Imran,Shakib Al Hasan,Farhad Reza,Mushfiqur Rahim,Abdur Razzak,Mashrafe Mortaza,Shahadat Hossain,Bangladesh
300437,AN Cook,P Mustard,IR Bell,KP Pietersen,PD Collingwood,OA Shah,RS Bopara,GP Swann,SCJ Broad,RJ Sidebottom,JM Anderson,England
300438,AN Cook,P Mustard,IR Bell,KP Pietersen,PD Collingwood,OA Shah,RS Bopara,GP Swann,SCJ Broad,RJ Sidebottom,JM Anderson,England
300439,JD Ryder,BB McCullum,JM How,LRPL Taylor,SB Styris,PG Fulton,JDP Oram,DL Vettori,KD Mills,PA Hitchcock,CS Martin,New Zealand
300440,AN Cook,P Mustard,IR Bell,KP Pietersen,PD Collingwood,OA Shah,LJ Wright,JM Anderson,RJ Sidebottom,SCJ Broad,AD Mascarenhas,England
300441,AN Cook,P Mustard,IR Bell,KP Pietersen,PD Collingwood,OA Shah,LJ Wright,SCJ Broad,AD Mascarenhas,JM Anderson,RJ Sidebottom,England
300486,V Sibanda,H Masakadza,BRM Taylor,T Taibu,SC Williams,S Matsikenyeri,E Chigumbura,P Utseya,GB Brent,T Maruma,CB Mpofu,Zimbabwe
300487,H Masakadza,V Sibanda,BRM Taylor,T Taibu,SC Williams,S Matsikenyeri,E Chigumbura,KM Dabengwa,GB Brent,CB Mpofu,P Utseya,Zimbabwe
300488,GC Smith,GH Bodi,JA Morkel,AB de Villiers,SM Pollock,VD Philander,JJ van der Wath,JP Duminy,M Morkel,M Ntini,MS Tshabalala,South Africa
313992,SD Outerbridge,J Edness,IH Romaine,JJ Celestine,DL Hemp,JJ Tucker,LOB Cann,RJ Trott,RDM Leverock,MO Jones,KAD Hurdle,Bermuda
313993,SD Outerbridge,IH Romaine,J Edness,JJ Celestine,DL Hemp,JJ Tucker,LOB Cann,RJ Trott,MO Jones,KAD Hurdle,RDM Leverock,Bermuda
313994,J Edness,AR Pitcher,LOB Cann,IH Romaine,SD Outerbridge,DL Hemp,JJ Tucker,RJ Trott,MO Jones,RDM Leverock,KC Hodsoll,Bermuda
